politica;indicador;GO;Brasil;% GO/Brasil;Ranking Brasil
PNCF;Operacoes;11;417;2,64%;10º
PNCF;Valor liberado;R$ 3.093.500,00;R$ 104.024.293,61;2,97%;10º
PNCF;Valor medio liberado por operacao;R$ 281.227,27;R$ 249.458,74;112,73%;3º
