politica;indicador;GO;Brasil;% GO/Brasil;Ranking Brasil
CAF;UFPA;41.052;3.898.268;1,05%;19º
CAF;CAFs Pessoa Juridica ativos;169;9.161;1,84%;17º
CAF;Mulheres em CAF ativo;32.462;3.529.596;0,92%;20º
CAF;Homens em CAF ativo;36.167;3.519.584;1,03%;20º
