politica;indicador;AC;Brasil;% AC/Brasil;Ranking Brasil
PNRA;Familias em PA criado diferenciado;281;2.341;12,00%;3º
PNRA;Familias em PA criado tradicional;0;40;0,00%;4º
PNRA;Familias em reconhecimento;20;2.000;1,00%;6º
PNRA;Familias em regularizacao;170;4.738;3,59%;7º
PNRA;Total de familias;471;9.119;5,17%;5º
