politica;indicador;AC;Brasil;% AC/Brasil;Ranking Brasil
PRONAF;Contratos;4.247;482.017;0,88%;18º
PRONAF;Valor total dos contratos;R$ 152.161.877,00;R$ 14.671.081.816,64;1,04%;21º
PRONAF;Operacoes;4.247;482.017;0,88%;18º
PRONAF;Contratos feminino;443;128.756;0,34%;22º
PRONAF;Valor contratos feminino;R$ 25.923.829,44;R$ 2.393.128.376,45;1,08%;22º
