politica;indicador;uf;valor_uf_2019_2022;valor_uf_2023_2026;variacao_uf_pct;valor_brasil_2019_2022;valor_brasil_2023_2026;variacao_brasil_pct;anos_uf_2019_2022;anos_uf_2023_2026;formato
PRONAF;Valor total dos contratos;AC;877815795.79;1444748376.5900002;64.58445878041907;147180246661.84;186084028861.76;26.432746976776713;2019, 2020, 2021, 2022;2023, 2024, 2025;moeda
PRONAF;Contratos;AC;15605.0;19117.0;22.505607177186793;5690096.0;5455360.0;-4.125343403696524;2019, 2020, 2021, 2022;2023, 2024, 2025;inteiro
PRONAF;Operacoes;AC;15605.0;19117.0;22.505607177186793;5690096.0;5455360.0;-4.125343403696524;2019, 2020, 2021, 2022;2023, 2024, 2025;inteiro
ATER;Familias com ATER recebida no ano;AC;212.0;334.0;57.54716981132076;209809.0;92442.0;-55.93992631393314;2022;2023, 2024;inteiro
ATER;Familias com ATER iniciada no ano;AC;212.0;0.0;-100.0;42900.0;36904.0;-13.976689976689983;2022;2023, 2024;inteiro
