politica;indicador;AC;Brasil;% AC/Brasil;Ranking Brasil
ATER;Familias com ATER iniciada no ano;Sem Informação;5.785;Sem Informação;Sem Informação
ATER;Familias com ATER recebida no ano;Sem Informação;16.855;Sem Informação;Sem Informação
