politica;indicador;CE;Brasil;% CE/Brasil;Ranking Brasil
Mais Alimentos;Contratos;10.235;95.355;10,73%;2º
Mais Alimentos;Valor total dos contratos;R$ 71.517.987,09;R$ 3.533.334.483,94;2,02%;8º
