politica;indicador;CE;Brasil;% CE/Brasil;Ranking Brasil
PNCF;Operacoes;42;417;10,07%;4º
PNCF;Valor liberado;R$ 7.974.624,24;R$ 104.024.293,61;7,67%;6º
PNCF;Valor medio liberado por operacao;R$ 189.872,01;R$ 249.458,74;76,11%;16º
