politica;indicador;CE;Brasil;% CE/Brasil;Ranking Brasil
Garantia-Safra;Agricultores aderidos;176.528;900.332;19,61%;2º
Garantia-Safra;Agricultores com pagamento liberado;146.296;833.621;17,55%;2º
