politica;indicador;CE;Brasil;% CE/Brasil;Ranking Brasil
PNRA;Familias em PA criado diferenciado;0;2.341;0,00%;9º
PNRA;Familias em PA criado tradicional;1;40;2,50%;3º
PNRA;Familias em reconhecimento;11;2.000;0,55%;8º
PNRA;Familias em regularizacao;123;4.738;2,60%;13º
PNRA;Total de familias;135;9.119;1,48%;13º
