politica;indicador;CE;Brasil;% CE/Brasil;Ranking Brasil
PRONAF;Contratos;41.646;482.017;8,64%;3º
PRONAF;Valor total dos contratos;R$ 427.484.800,90;R$ 14.671.081.816,64;2,91%;11º
PRONAF;Operacoes;41.646;482.017;8,64%;3º
PRONAF;Contratos feminino;15.528;128.756;12,06%;2º
PRONAF;Valor contratos feminino;R$ 139.653.231,33;R$ 2.393.128.376,45;5,84%;6º
