politica;indicador;uf;valor_uf_2019_2022;valor_uf_2023_2026;variacao_uf_pct;valor_brasil_2019_2022;valor_brasil_2023_2026;variacao_brasil_pct;anos_uf_2019_2022;anos_uf_2023_2026;formato
PRONAF;Valor total dos contratos;MS;955924648.14;1234952021.65;29.189264452268326;147180246661.84;186084028861.76;26.432746976776713;2019, 2020, 2021, 2022;2023, 2024, 2025;moeda
PRONAF;Contratos;MS;22663.0;23789.0;4.968450778802458;5690096.0;5455360.0;-4.125343403696524;2019, 2020, 2021, 2022;2023, 2024, 2025;inteiro
PRONAF;Operacoes;MS;22663.0;23789.0;4.968450778802458;5690096.0;5455360.0;-4.125343403696524;2019, 2020, 2021, 2022;2023, 2024, 2025;inteiro
ATER;Familias com ATER recebida no ano;MS;2492.0;4896.0;96.46869983948636;209809.0;92442.0;-55.93992631393314;2021, 2022;2023, 2024, 2025, 2026;inteiro
ATER;Familias com ATER iniciada no ano;MS;1941.0;783.0;-59.65996908809892;42900.0;36904.0;-13.976689976689983;2021, 2022;2023, 2024, 2025, 2026;inteiro
