politica;indicador;SE;Brasil;% SE/Brasil;Ranking Brasil
Garantia-Safra;Agricultores aderidos;15.939;900.332;1,77%;9º
Garantia-Safra;Agricultores com pagamento liberado;15.799;833.621;1,90%;9º
