politica;indicador;SE;Brasil;% SE/Brasil;Ranking Brasil
Mais Alimentos;Contratos;1.405;95.355;1,47%;16º
Mais Alimentos;Valor total dos contratos;R$ 26.037.294,31;R$ 3.533.334.483,94;0,74%;15º
