politica;indicador;DF;Brasil;% DF/Brasil;Ranking Brasil
CAF;UFPA;3.882;3.898.268;0,10%;27º
CAF;CAFs Pessoa Juridica ativos;41;9.161;0,45%;27º
CAF;Mulheres em CAF ativo;3.155;3.529.596;0,09%;27º
CAF;Homens em CAF ativo;3.211;3.519.584;0,09%;27º
