politica;indicador;RJ;Brasil;% RJ/Brasil;Ranking Brasil
CAF;UFPA;12.569;3.898.268;0,32%;26º
CAF;CAFs Pessoa Juridica ativos;72;9.161;0,79%;24º
CAF;Mulheres em CAF ativo;10.336;3.529.596;0,29%;26º
CAF;Homens em CAF ativo;12.347;3.519.584;0,35%;25º
