politica;indicador;uf;valor_uf_2019_2022;valor_uf_2023_2026;variacao_uf_pct;valor_brasil_2019_2022;valor_brasil_2023_2026;variacao_brasil_pct;anos_uf_2019_2022;anos_uf_2023_2026;formato
PRONAF;Valor total dos contratos;RJ;639118253.8;811011242.05;26.895333880385564;147180246661.84;186084028861.76;26.432746976776713;2019, 2020, 2021, 2022;2023, 2024, 2025;moeda
PRONAF;Contratos;RJ;15398.0;12032.0;-21.85998181582024;5690096.0;5455360.0;-4.125343403696524;2019, 2020, 2021, 2022;2023, 2024, 2025;inteiro
PRONAF;Operacoes;RJ;15398.0;12032.0;-21.85998181582024;5690096.0;5455360.0;-4.125343403696524;2019, 2020, 2021, 2022;2023, 2024, 2025;inteiro
ATER;Familias com ATER recebida no ano;RJ;0.0;583.0;0.0;209809.0;92442.0;-55.93992631393314;;2023, 2024;inteiro
ATER;Familias com ATER iniciada no ano;RJ;0.0;300.0;0.0;42900.0;36904.0;-13.976689976689983;;2023, 2024;inteiro
