politica;indicador;RJ;Brasil;% RJ/Brasil;Ranking Brasil
PRONAF;Contratos;971;482.017;0,20%;25º
PRONAF;Valor total dos contratos;R$ 65.120.962,54;R$ 14.671.081.816,64;0,44%;23º
PRONAF;Operacoes;971;482.017;0,20%;25º
PRONAF;Contratos feminino;82;128.756;0,06%;26º
PRONAF;Valor contratos feminino;R$ 6.348.766,85;R$ 2.393.128.376,45;0,27%;24º
