politica;indicador;PA;Brasil;% PA/Brasil;Ranking Brasil
CAF;UFPA;216.099;3.898.268;5,54%;7º
CAF;CAFs Pessoa Juridica ativos;364;9.161;3,97%;9º
CAF;Mulheres em CAF ativo;170.963;3.529.596;4,84%;8º
CAF;Homens em CAF ativo;180.953;3.519.584;5,14%;8º
