politica;indicador;PA;Brasil;% PA/Brasil;Ranking Brasil
PRONAF;Contratos;14.770;482.017;3,06%;13º
PRONAF;Valor total dos contratos;R$ 658.786.280,49;R$ 14.671.081.816,64;4,49%;7º
PRONAF;Operacoes;14.770;482.017;3,06%;13º
PRONAF;Contratos feminino;3.175;128.756;2,47%;12º
PRONAF;Valor contratos feminino;R$ 114.254.462,62;R$ 2.393.128.376,45;4,77%;7º
