politica;indicador;PA;Brasil;% PA/Brasil;Ranking Brasil
ATER;Familias com ATER iniciada no ano;44;5.785;0,76%;17º
ATER;Familias com ATER recebida no ano;4.085;16.855;24,24%;1º
