politica;indicador;AL;Brasil;% AL/Brasil;Ranking Brasil
Mais Alimentos;Contratos;2.127;95.355;2,23%;14º
Mais Alimentos;Valor total dos contratos;R$ 13.760.879,62;R$ 3.533.334.483,94;0,39%;22º
