politica;indicador;AL;Brasil;% AL/Brasil;Ranking Brasil
CAF;UFPA;91.048;3.898.268;2,34%;12º
CAF;CAFs Pessoa Juridica ativos;253;9.161;2,76%;13º
CAF;Mulheres em CAF ativo;88.907;3.529.596;2,52%;12º
CAF;Homens em CAF ativo;82.908;3.519.584;2,36%;13º
