politica;indicador;MG;Brasil;% MG/Brasil;Ranking Brasil
ATER;Familias com ATER iniciada no ano;580;5.785;10,03%;2º
ATER;Familias com ATER recebida no ano;1.530;16.855;9,08%;2º
