politica;indicador;MG;Brasil;% MG/Brasil;Ranking Brasil
CAF;UFPA;266.478;3.898.268;6,84%;6º
CAF;CAFs Pessoa Juridica ativos;681;9.161;7,43%;3º
CAF;Mulheres em CAF ativo;252.645;3.529.596;7,16%;6º
CAF;Homens em CAF ativo;276.706;3.519.584;7,86%;4º
