politica;indicador;valor_uf;valor_brasil;percentual_uf_brasil;ranking_brasil;formato
CAF;UFPA;356866.0;3898268.0;9.154475782578317;3;inteiro
PRONAF;Valor total dos contratos;428622270.23;14671081816.64;2.9215450884055114;10;moeda
Mais Alimentos;Valor total dos contratos;35748894.62;3533334483.94;1.0117608390173305;11;moeda
ATER;Familias com ATER recebida no ano;525.0;16855.0;3.1148027291604863;11;inteiro
Garantia-Safra;Agricultores com pagamento liberado;1362.0;833621.0;0.1633835999812864;10;inteiro
PNCF;Valor liberado;19735994.68;104024293.60999998;18.972486132895742;1;moeda
PNRA;Total de familias;2227.0;9119.0;24.42153744928172;1;inteiro
