politica;indicador;MA;Brasil;% MA/Brasil;Ranking Brasil
CAF;UFPA;356.866;3.898.268;9,15%;3º
CAF;CAFs Pessoa Juridica ativos;646;9.161;7,05%;4º
CAF;Mulheres em CAF ativo;288.847;3.529.596;8,18%;4º
CAF;Homens em CAF ativo;257.579;3.519.584;7,32%;5º
