politica;indicador;MA;Brasil;% MA/Brasil;Ranking Brasil
Garantia-Safra;Agricultores aderidos;2.530;900.332;0,28%;10º
Garantia-Safra;Agricultores com pagamento liberado;1.362;833.621;0,16%;10º
