politica;indicador;PI;Brasil;% PI/Brasil;Ranking Brasil
CAF;UFPA;281.486;3.898.268;7,22%;5º
CAF;CAFs Pessoa Juridica ativos;514;9.161;5,61%;5º
CAF;Mulheres em CAF ativo;254.297;3.529.596;7,20%;5º
CAF;Homens em CAF ativo;229.500;3.519.584;6,52%;6º
