politica;indicador;uf;valor_uf_2019_2022;valor_uf_2023_2026;variacao_uf_pct;valor_brasil_2019_2022;valor_brasil_2023_2026;variacao_brasil_pct;anos_uf_2019_2022;anos_uf_2023_2026;formato
PRONAF;Valor total dos contratos;PI;1937992581.1799998;3155064129.3100004;62.80062988625856;147180246661.84;186084028861.76;26.432746976776713;2019, 2020, 2021, 2022;2023, 2024, 2025;moeda
PRONAF;Contratos;PI;375323.0;425180.0;13.283758256221967;5690096.0;5455360.0;-4.125343403696524;2019, 2020, 2021, 2022;2023, 2024, 2025;inteiro
PRONAF;Operacoes;PI;375323.0;425180.0;13.283758256221967;5690096.0;5455360.0;-4.125343403696524;2019, 2020, 2021, 2022;2023, 2024, 2025;inteiro
ATER;Familias com ATER recebida no ano;PI;14445.0;4281.0;-70.36344755970924;209809.0;92442.0;-55.93992631393314;2019, 2020, 2021, 2022;2023, 2024, 2025, 2026;inteiro
ATER;Familias com ATER iniciada no ano;PI;1497.0;1463.0;-2.271209084836334;42900.0;36904.0;-13.976689976689983;2019, 2020, 2021, 2022;2023, 2024, 2025, 2026;inteiro
