politica;indicador;PI;Brasil;% PI/Brasil;Ranking Brasil
Mais Alimentos;Contratos;7.015;95.355;7,36%;5º
Mais Alimentos;Valor total dos contratos;R$ 34.105.896,93;R$ 3.533.334.483,94;0,97%;12º
