politica;indicador;MS;Brasil;% MS/Brasil;Ranking Brasil
Mais Alimentos;Contratos;397;95.355;0,42%;22º
Mais Alimentos;Valor total dos contratos;R$ 17.313.219,84;R$ 3.533.334.483,94;0,49%;20º
