politica;indicador;MS;Brasil;% MS/Brasil;Ranking Brasil
CAF;UFPA;28.415;3.898.268;0,73%;23º
CAF;CAFs Pessoa Juridica ativos;159;9.161;1,74%;18º
CAF;Mulheres em CAF ativo;24.963;3.529.596;0,71%;23º
CAF;Homens em CAF ativo;25.284;3.519.584;0,72%;23º
