politica;indicador;MT;Brasil;% MT/Brasil;Ranking Brasil
PRONAF;Contratos;3.492;482.017;0,72%;21º
PRONAF;Valor total dos contratos;R$ 319.447.807,46;R$ 14.671.081.816,64;2,18%;14º
PRONAF;Operacoes;3.492;482.017;0,72%;21º
PRONAF;Contratos feminino;484;128.756;0,38%;21º
PRONAF;Valor contratos feminino;R$ 38.334.864,94;R$ 2.393.128.376,45;1,60%;19º
