politica;indicador;MT;Brasil;% MT/Brasil;Ranking Brasil
PNRA;Familias em PA criado diferenciado;5;2.341;0,21%;6º
PNRA;Familias em PA criado tradicional;0;40;0,00%;4º
PNRA;Familias em reconhecimento;1;2.000;0,05%;12º
PNRA;Familias em regularizacao;144;4.738;3,04%;9º
PNRA;Total de familias;150;9.119;1,64%;11º
