politica;indicador;MT;Brasil;% MT/Brasil;Ranking Brasil
Mais Alimentos;Contratos;190;95.355;0,20%;25º
Mais Alimentos;Valor total dos contratos;R$ 14.513.403,65;R$ 3.533.334.483,94;0,41%;21º
