politica;indicador;TO;Brasil;% TO/Brasil;Ranking Brasil
PNCF;Operacoes;48;417;11,51%;3º
PNCF;Valor liberado;R$ 13.469.965,88;R$ 104.024.293,61;12,95%;2º
PNCF;Valor medio liberado por operacao;R$ 280.624,29;R$ 249.458,74;112,49%;4º
