politica;indicador;TO;Brasil;% TO/Brasil;Ranking Brasil
Garantia-Safra;Agricultores aderidos;Sem Informação;900.332;Sem Informação;Sem Informação
Garantia-Safra;Agricultores com pagamento liberado;Sem Informação;833.621;Sem Informação;Sem Informação
