politica;indicador;RN;Brasil;% RN/Brasil;Ranking Brasil
PRONAF;Contratos;16.394;482.017;3,40%;11º
PRONAF;Valor total dos contratos;R$ 155.309.717,31;R$ 14.671.081.816,64;1,06%;20º
PRONAF;Operacoes;16.394;482.017;3,40%;11º
PRONAF;Contratos feminino;5.870;128.756;4,56%;8º
PRONAF;Valor contratos feminino;R$ 53.407.004,02;R$ 2.393.128.376,45;2,23%;16º
