politica;indicador;RN;Brasil;% RN/Brasil;Ranking Brasil
Garantia-Safra;Agricultores aderidos;37.184;900.332;4,13%;7º
Garantia-Safra;Agricultores com pagamento liberado;37.166;833.621;4,46%;7º
