politica;indicador;RN;Brasil;% RN/Brasil;Ranking Brasil
Mais Alimentos;Contratos;2.388;95.355;2,50%;13º
Mais Alimentos;Valor total dos contratos;R$ 18.452.891,52;R$ 3.533.334.483,94;0,52%;18º
