politica;indicador;RO;Brasil;% RO/Brasil;Ranking Brasil
Mais Alimentos;Contratos;640;95.355;0,67%;20º
Mais Alimentos;Valor total dos contratos;R$ 32.903.778,04;R$ 3.533.334.483,94;0,93%;13º
