politica;indicador;RO;Brasil;% RO/Brasil;Ranking Brasil
CAF;UFPA;58.847;3.898.268;1,51%;16º
CAF;CAFs Pessoa Juridica ativos;58;9.161;0,63%;26º
CAF;Mulheres em CAF ativo;48.726;3.529.596;1,38%;17º
CAF;Homens em CAF ativo;57.505;3.519.584;1,63%;16º
