politica;indicador;RO;Brasil;% RO/Brasil;Ranking Brasil
PRONAF;Contratos;6.174;482.017;1,28%;16º
PRONAF;Valor total dos contratos;R$ 518.539.180,94;R$ 14.671.081.816,64;3,53%;8º
PRONAF;Operacoes;6.174;482.017;1,28%;16º
PRONAF;Contratos feminino;653;128.756;0,51%;20º
PRONAF;Valor contratos feminino;R$ 62.136.030,66;R$ 2.393.128.376,45;2,60%;15º
