politica;indicador;PR;Brasil;% PR/Brasil;Ranking Brasil
CAF;UFPA;110.405;3.898.268;2,83%;11º
CAF;CAFs Pessoa Juridica ativos;464;9.161;5,06%;6º
CAF;Mulheres em CAF ativo;99.060;3.529.596;2,81%;11º
CAF;Homens em CAF ativo;115.725;3.519.584;3,29%;10º
