politica;indicador;PR;Brasil;% PR/Brasil;Ranking Brasil
PRONAF;Contratos;19.655;482.017;4,08%;9º
PRONAF;Valor total dos contratos;R$ 1.684.841.253,74;R$ 14.671.081.816,64;11,48%;3º
PRONAF;Operacoes;19.655;482.017;4,08%;9º
PRONAF;Contratos feminino;2.863;128.756;2,22%;13º
PRONAF;Valor contratos feminino;R$ 253.456.956,10;R$ 2.393.128.376,45;10,59%;3º
