politica;indicador;PR;Brasil;% PR/Brasil;Ranking Brasil
Mais Alimentos;Contratos;4.976;95.355;5,22%;8º
Mais Alimentos;Valor total dos contratos;R$ 539.370.443,71;R$ 3.533.334.483,94;15,27%;3º
