politica;indicador;MT;Brasil;% MT/Brasil;Ranking Brasil
PNCF;Operacoes;Sem Informação;417;Sem Informação;Sem Informação
PNCF;Valor liberado;Sem Informação;R$ 104.024.293,61;Sem Informação;Sem Informação
PNCF;Valor medio liberado por operacao;Sem Informação;R$ 249.458,74;Sem Informação;Sem Informação
