politica;indicador;RR;Brasil;% RR/Brasil;Ranking Brasil
PNRA;Familias em PA criado diferenciado;0;2.341;0,00%;9º
PNRA;Familias em PA criado tradicional;2;40;5,00%;2º
PNRA;Familias em reconhecimento;0;2.000;0,00%;13º
PNRA;Familias em regularizacao;28;4.738;0,59%;21º
PNRA;Total de familias;30;9.119;0,33%;24º
