politica;indicador;RR;Brasil;% RR/Brasil;Ranking Brasil
CAF;UFPA;13.972;3.898.268;0,36%;25º
CAF;CAFs Pessoa Juridica ativos;60;9.161;0,65%;25º
CAF;Mulheres em CAF ativo;10.593;3.529.596;0,30%;25º
CAF;Homens em CAF ativo;11.735;3.519.584;0,33%;26º
