politica;indicador;ES;Brasil;% ES/Brasil;Ranking Brasil
PRONAF;Contratos;8.603;482.017;1,78%;15º
PRONAF;Valor total dos contratos;R$ 749.403.823,99;R$ 14.671.081.816,64;5,11%;6º
PRONAF;Operacoes;8.603;482.017;1,78%;15º
PRONAF;Contratos feminino;1.109;128.756;0,86%;15º
PRONAF;Valor contratos feminino;R$ 83.905.008,66;R$ 2.393.128.376,45;3,51%;11º
