politica;indicador;PE;Brasil;% PE/Brasil;Ranking Brasil
CAF;UFPA;325.988;3.898.268;8,36%;4º
CAF;CAFs Pessoa Juridica ativos;408;9.161;4,45%;8º
CAF;Mulheres em CAF ativo;312.730;3.529.596;8,86%;3º
CAF;Homens em CAF ativo;285.777;3.519.584;8,12%;3º
