politica;indicador;PE;Brasil;% PE/Brasil;Ranking Brasil
PNRA;Familias em PA criado diferenciado;78;2.341;3,33%;4º
PNRA;Familias em PA criado tradicional;0;40;0,00%;4º
PNRA;Familias em reconhecimento;26;2.000;1,30%;5º
PNRA;Familias em regularizacao;300;4.738;6,33%;5º
PNRA;Total de familias;404;9.119;4,43%;6º
