politica;indicador;PE;Brasil;% PE/Brasil;Ranking Brasil
PRONAF;Contratos;37.375;482.017;7,75%;5º
PRONAF;Valor total dos contratos;R$ 443.450.727,55;R$ 14.671.081.816,64;3,02%;9º
PRONAF;Operacoes;37.375;482.017;7,75%;5º
PRONAF;Contratos feminino;11.291;128.756;8,77%;5º
PRONAF;Valor contratos feminino;R$ 107.353.605,28;R$ 2.393.128.376,45;4,49%;9º
