ano;uf;dt_referencia;dt_geracao;qtd_contratos_total;valor_total_contratos;qtd_operacoes_total;arquivo_origem
2017;CE;2017_12;2026_04_29;125600;442738356.34;125600;pronaf_gaia_historico_anual_2017.xlsx
2017;DF;2017_12;2026_04_29;97;4480920.76;97;pronaf_gaia_historico_anual_2017.xlsx
2017;ES;2017_12;2026_04_29;21499;675148931.49;21499;pronaf_gaia_historico_anual_2017.xlsx
2017;GO;2017_12;2026_04_29;16066;564631065.28;16066;pronaf_gaia_historico_anual_2017.xlsx
2017;MA;2017_12;2026_04_29;78327;416938200.79;78327;pronaf_gaia_historico_anual_2017.xlsx
2017;MG;2017_12;2026_04_29;165879;2465521227.41;165879;pronaf_gaia_historico_anual_2017.xlsx
2017;MS;2017_12;2026_04_29;6884;203994864.02;6884;pronaf_gaia_historico_anual_2017.xlsx
2017;MT;2017_12;2026_04_29;19259;835669634.56;19259;pronaf_gaia_historico_anual_2017.xlsx
2017;PA;2017_12;2026_04_29;12464;238470318.39;12464;pronaf_gaia_historico_anual_2017.xlsx
2017;PB;2017_12;2026_04_29;75478;267791301.35;75478;pronaf_gaia_historico_anual_2017.xlsx
2017;PE;2017_12;2026_04_29;94255;395447967.11;94255;pronaf_gaia_historico_anual_2017.xlsx
2017;PI;2017_12;2026_04_29;103208;359050721.29;103208;pronaf_gaia_historico_anual_2017.xlsx
2017;PR;2017_12;2026_04_29;120267;3818413559.05;120267;pronaf_gaia_historico_anual_2017.xlsx
2017;RJ;2017_12;2026_04_29;5071;140193077.7;5071;pronaf_gaia_historico_anual_2017.xlsx
2017;RN;2017_12;2026_04_29;47157;167692227.8;47157;pronaf_gaia_historico_anual_2017.xlsx
2017;RO;2017_12;2026_04_29;25194;942791032.1800001;25194;pronaf_gaia_historico_anual_2017.xlsx
2017;RR;2017_12;2026_04_29;1200;38082301.1;1200;pronaf_gaia_historico_anual_2017.xlsx
2017;RS;2017_12;2026_04_29;207287;5536566982.68;207287;pronaf_gaia_historico_anual_2017.xlsx
2017;SC;2017_12;2026_04_29;92949;2853236377.38;92949;pronaf_gaia_historico_anual_2017.xlsx
2017;SE;2017_12;2026_04_29;28391;173904395.18;28391;pronaf_gaia_historico_anual_2017.xlsx
2017;SP;2017_12;2026_04_29;18939;657091564.01;18939;pronaf_gaia_historico_anual_2017.xlsx
2017;TO;2017_12;2026_04_29;4935;120942260.31;4935;pronaf_gaia_historico_anual_2017.xlsx
2018;AC;2018_12;2026_04_29;3554;142337730.7;3554;pronaf_gaia_historico_anual_2018.xlsx
2018;AL;2018_12;2026_04_29;39373;256519083.53;39373;pronaf_gaia_historico_anual_2018.xlsx
2018;AM;2018_12;2026_04_29;833;21986484.79;833;pronaf_gaia_historico_anual_2018.xlsx
2018;AP;2018_12;2026_04_29;590;14020620.55;590;pronaf_gaia_historico_anual_2018.xlsx
2018;BA;2018_12;2026_04_29;232187;999361245.39;232187;pronaf_gaia_historico_anual_2018.xlsx
2018;CE;2018_12;2026_04_29;105102;472318127.98;105102;pronaf_gaia_historico_anual_2018.xlsx
2018;DF;2018_12;2026_04_29;55;2905065.45;55;pronaf_gaia_historico_anual_2018.xlsx
2018;ES;2018_12;2026_04_29;19286;683584176.51;19286;pronaf_gaia_historico_anual_2018.xlsx
2018;GO;2018_12;2026_04_29;15954;592876136.83;15954;pronaf_gaia_historico_anual_2018.xlsx
2018;MA;2018_12;2026_04_29;75054;442060542.67;75054;pronaf_gaia_historico_anual_2018.xlsx
2018;MG;2018_12;2026_04_29;158354;2620497954.28;158354;pronaf_gaia_historico_anual_2018.xlsx
2018;MS;2018_12;2026_04_29;6869;213506703.61;6869;pronaf_gaia_historico_anual_2018.xlsx
2018;MT;2018_12;2026_04_29;19885;942061757.96;19885;pronaf_gaia_historico_anual_2018.xlsx
2018;PA;2018_12;2026_04_29;14143;299532007.02;14143;pronaf_gaia_historico_anual_2018.xlsx
2018;PB;2018_12;2026_04_29;73962;308928318.25;73962;pronaf_gaia_historico_anual_2018.xlsx
2018;PE;2018_12;2026_04_29;92573;465166861.28;92573;pronaf_gaia_historico_anual_2018.xlsx
