ano;uf;dt_referencia;dt_geracao;familias_com_ater_iniciada_no_ano;familias_com_ater_recebida_no_ano;arquivo_origem
2020;PR;2025-11-30;2025-12-12;0;2476;ater_ano_2020_ref_2025-11-30_gerado_em_20251212192827.xlsx
2020;RN;2025-11-30;2025-12-12;1;3314;ater_ano_2020_ref_2025-11-30_gerado_em_20251212192827.xlsx
2020;RS;2025-11-30;2025-12-12;0;6899;ater_ano_2020_ref_2025-11-30_gerado_em_20251212192827.xlsx
2020;SC;2025-11-30;2025-12-12;7;3043;ater_ano_2020_ref_2025-11-30_gerado_em_20251212192827.xlsx
2020;SE;2025-11-30;2025-12-12;91;2601;ater_ano_2020_ref_2025-11-30_gerado_em_20251212192827.xlsx
2020;SP;2025-11-30;2025-12-12;0;850;ater_ano_2020_ref_2025-11-30_gerado_em_20251212192827.xlsx
2020;TO;2025-11-30;2025-12-12;0;41;ater_ano_2020_ref_2025-11-30_gerado_em_20251212192827.xlsx
2021;AL;2025-11-30;2025-12-12;1;2757;ater_ano_2021_ref_2025-11-30_gerado_em_20251212192827.xlsx
2021;AM;2025-11-30;2025-12-12;1;1;ater_ano_2021_ref_2025-11-30_gerado_em_20251212192827.xlsx
2021;AP;2025-11-30;2025-12-12;121;121;ater_ano_2021_ref_2025-11-30_gerado_em_20251212192827.xlsx
2021;BA;2025-11-30;2025-12-12;11;1478;ater_ano_2021_ref_2025-11-30_gerado_em_20251212192827.xlsx
2021;CE;2025-11-30;2025-12-12;0;2836;ater_ano_2021_ref_2025-11-30_gerado_em_20251212192827.xlsx
2021;DF;2025-11-30;2025-12-12;0;62;ater_ano_2021_ref_2025-11-30_gerado_em_20251212192827.xlsx
2021;ES;2025-11-30;2025-12-12;0;513;ater_ano_2021_ref_2025-11-30_gerado_em_20251212192827.xlsx
2021;GO;2025-11-30;2025-12-12;30;51;ater_ano_2021_ref_2025-11-30_gerado_em_20251212192827.xlsx
2021;MA;2025-11-30;2025-12-12;243;1505;ater_ano_2021_ref_2025-11-30_gerado_em_20251212192827.xlsx
2021;MG;2025-11-30;2025-12-12;0;5697;ater_ano_2021_ref_2025-11-30_gerado_em_20251212192827.xlsx
2021;MS;2025-11-30;2025-12-12;597;597;ater_ano_2021_ref_2025-11-30_gerado_em_20251212192827.xlsx
