politica;indicador;MG;Brasil;% MG/Brasil;Ranking Brasil
Garantia-Safra;Agricultores aderidos;41.649;900.332;4,63%;6º
Garantia-Safra;Agricultores com pagamento liberado;37.207;833.621;4,46%;6º
