politica;indicador;MG;Brasil;% MG/Brasil;Ranking Brasil
PRONAF;Contratos;44.848;482.017;9,30%;2º
PRONAF;Valor total dos contratos;R$ 1.604.294.782,57;R$ 14.671.081.816,64;10,94%;4º
PRONAF;Operacoes;44.848;482.017;9,30%;2º
PRONAF;Contratos feminino;9.424;128.756;7,32%;6º
PRONAF;Valor contratos feminino;R$ 174.278.525,96;R$ 2.393.128.376,45;7,28%;4º
