politica;indicador;MG;Brasil;% MG/Brasil;Ranking Brasil
Mais Alimentos;Contratos;9.036;95.355;9,48%;3º
Mais Alimentos;Valor total dos contratos;R$ 415.882.383,26;R$ 3.533.334.483,94;11,77%;4º
