politica;indicador;MG;Brasil;% MG/Brasil;Ranking Brasil
PNRA;Familias em PA criado diferenciado;2;2.341;0,09%;7º
PNRA;Familias em PA criado tradicional;37;40;92,50%;1º
PNRA;Familias em reconhecimento;0;2.000;0,00%;13º
PNRA;Familias em regularizacao;62;4.738;1,31%;16º
PNRA;Total de familias;101;9.119;1,11%;16º
