politica;indicador;PI;Brasil;% PI/Brasil;Ranking Brasil
PRONAF;Contratos;39.268;482.017;8,15%;4º
PRONAF;Valor total dos contratos;R$ 322.059.940,03;R$ 14.671.081.816,64;2,20%;13º
PRONAF;Operacoes;39.268;482.017;8,15%;4º
PRONAF;Contratos feminino;12.547;128.756;9,74%;3º
PRONAF;Valor contratos feminino;R$ 103.338.564,36;R$ 2.393.128.376,45;4,32%;10º
