politica;indicador;PI;Brasil;% PI/Brasil;Ranking Brasil
Garantia-Safra;Agricultores aderidos;73.655;900.332;8,18%;4º
Garantia-Safra;Agricultores com pagamento liberado;70.255;833.621;8,43%;4º
