uf;status;inicio;fim;duracao_segundos;notebook_executado;relatorio_word;mensagem
MT;ok;2026-05-05 09:53:31;2026-05-05 09:54:03;32.0;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\notebooks\executados\202605\020_gerar_relatorio_dados_MT_20260505095331.ipynb;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\relatorios_gerados\202605\relatorio_dados_MT_20260505095344.docx;Relat?rio gerado com sucesso.
PA;ok;2026-05-05 09:54:03;2026-05-05 09:54:34;30.3;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\notebooks\executados\202605\020_gerar_relatorio_dados_PA_20260505095403.ipynb;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\relatorios_gerados\202605\relatorio_dados_PA_20260505095417.docx;Relat?rio gerado com sucesso.
PB;ok;2026-05-05 09:54:34;2026-05-05 09:54:58;23.9;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\notebooks\executados\202605\020_gerar_relatorio_dados_PB_20260505095434.ipynb;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\relatorios_gerados\202605\relatorio_dados_PB_20260505095444.docx;Relat?rio gerado com sucesso.
PE;ok;2026-05-05 09:54:58;2026-05-05 09:55:21;23.0;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\notebooks\executados\202605\020_gerar_relatorio_dados_PE_20260505095458.ipynb;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\relatorios_gerados\202605\relatorio_dados_PE_20260505095507.docx;Relat?rio gerado com sucesso.
PI;ok;2026-05-05 09:55:21;2026-05-05 09:55:46;25.4;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\notebooks\executados\202605\020_gerar_relatorio_dados_PI_20260505095521.ipynb;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\relatorios_gerados\202605\relatorio_dados_PI_20260505095532.docx;Relat?rio gerado com sucesso.
PR;ok;2026-05-05 09:55:46;2026-05-05 09:56:09;22.9;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\notebooks\executados\202605\020_gerar_relatorio_dados_PR_20260505095546.ipynb;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\relatorios_gerados\202605\relatorio_dados_PR_20260505095556.docx;Relat?rio gerado com sucesso.
RJ;ok;2026-05-05 09:56:09;2026-05-05 09:56:32;22.7;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\notebooks\executados\202605\020_gerar_relatorio_dados_RJ_20260505095609.ipynb;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\relatorios_gerados\202605\relatorio_dados_RJ_20260505095619.docx;Relat?rio gerado com sucesso.
RN;ok;2026-05-05 09:56:32;2026-05-05 09:56:54;21.9;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\notebooks\executados\202605\020_gerar_relatorio_dados_RN_20260505095632.ipynb;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\relatorios_gerados\202605\relatorio_dados_RN_20260505095642.docx;Relat?rio gerado com sucesso.
RO;ok;2026-05-05 09:56:54;2026-05-05 09:57:16;22.2;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\notebooks\executados\202605\020_gerar_relatorio_dados_RO_20260505095654.ipynb;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\relatorios_gerados\202605\relatorio_dados_RO_20260505095702.docx;Relat?rio gerado com sucesso.
RR;ok;2026-05-05 09:57:16;2026-05-05 09:57:40;23.9;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\notebooks\executados\202605\020_gerar_relatorio_dados_RR_20260505095716.ipynb;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\relatorios_gerados\202605\relatorio_dados_RR_20260505095726.docx;Relat?rio gerado com sucesso.
RS;ok;2026-05-05 09:57:40;2026-05-05 09:58:01;21.8;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\notebooks\executados\202605\020_gerar_relatorio_dados_RS_20260505095740.ipynb;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\relatorios_gerados\202605\relatorio_dados_RS_20260505095749.docx;Relat?rio gerado com sucesso.
SC;ok;2026-05-05 09:58:01;2026-05-05 09:58:26;24.3;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\notebooks\executados\202605\020_gerar_relatorio_dados_SC_20260505095801.ipynb;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\relatorios_gerados\202605\relatorio_dados_SC_20260505095813.docx;Relat?rio gerado com sucesso.
SE;ok;2026-05-05 09:58:26;2026-05-05 09:58:48;22.3;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\notebooks\executados\202605\020_gerar_relatorio_dados_SE_20260505095826.ipynb;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\relatorios_gerados\202605\relatorio_dados_SE_20260505095836.docx;Relat?rio gerado com sucesso.
SP;ok;2026-05-05 09:58:48;2026-05-05 09:59:11;23.2;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\notebooks\executados\202605\020_gerar_relatorio_dados_SP_20260505095848.ipynb;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\relatorios_gerados\202605\relatorio_dados_SP_20260505095858.docx;Relat?rio gerado com sucesso.
TO;ok;2026-05-05 09:59:11;2026-05-05 09:59:35;23.7;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\notebooks\executados\202605\020_gerar_relatorio_dados_TO_20260505095911.ipynb;C:\Users\marce\OneDrive - Ministério da Agricultura e Pecuária\LAB_DATA_MDA\20260424_relatorio_dados\relatorio_dados_damei\relatorios_gerados\202605\relatorio_dados_TO_20260505095922.docx;Relat?rio gerado com sucesso.
