politica;indicador;TO;Brasil;% TO/Brasil;Ranking Brasil
Mais Alimentos;Contratos;549;95.355;0,58%;21º
Mais Alimentos;Valor total dos contratos;R$ 10.447.621,62;R$ 3.533.334.483,94;0,30%;25º
